epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.414543,1.96394,3.12312,1.78834,0.00333,1,0.82833,0.18649,2.22145,4.09421,2.56149,0,0,0
2,0.939963,2.14641,3.36261,2.2127,0.00333,1,0.60611,0.19339,2.17485,3.97881,2.58106,1.9868e-05,1.9868e-05,1.9868e-05
3,1.46105,2.04096,3.57773,2.13131,0.00333,1,0.63786,0.19374,2.20531,4.10979,2.54916,3.9472e-05,3.9472e-05,3.9472e-05
4,2.33162,2.22098,3.52397,2.10558,0.00333,1,0.63786,0.18352,2.21153,4.04483,2.55502,5.8812e-05,5.8812e-05,5.8812e-05
5,2.80544,2.34755,3.34226,2.12773,0.00333,1,0.3725,0.1082,2.24807,3.93587,2.55805,7.7888e-05,7.7888e-05,7.7888e-05
6,3.29067,1.67406,3.23726,1.75524,0.00333,1,0.66167,0.19199,2.28627,3.80343,2.5588,9.67e-05,9.67e-05,9.67e-05
7,3.79688,2.18044,3.23745,2.17147,0.00333,1,0.63786,0.24111,2.05799,3.73309,2.34309,0.000115248,0.000115248,0.000115248
8,4.40031,1.90284,2.98361,1.81669,0.00333,1,0.82833,0.32981,1.83109,3.78305,2.21191,0.000133532,0.000133532,0.000133532
9,5.03102,1.73967,2.97902,1.75409,0.00333,1,0.995,0.42296,1.71627,3.45469,2.17711,0.000151552,0.000151552,0.000151552
10,5.65195,1.74893,2.9708,1.75482,0.00333,1,0.995,0.42271,1.70978,3.48293,2.16373,0.000169308,0.000169308,0.000169308
11,6.26243,1.67965,2.99608,1.71785,0.00333,1,0.82833,0.45713,1.71296,3.34726,1.93911,0.0001868,0.0001868,0.0001868
12,6.873,1.68286,2.50567,1.59608,0.00333,1,0.82833,0.49321,1.24956,3.56861,1.7102,0.000204028,0.000204028,0.000204028
13,7.47889,1.43838,2.44235,1.53769,0.00333,1,0.995,0.504,1.24222,3.45381,1.68679,0.000220992,0.000220992,0.000220992
14,8.07944,1.35346,2.04863,1.35674,0.00333,1,0.995,0.48654,1.3986,3.17299,1.69286,0.000237692,0.000237692,0.000237692
15,8.67315,1.25679,2.17193,1.34335,0.00333,1,0.995,0.55904,1.45512,3.13661,1.57974,0.000254128,0.000254128,0.000254128
16,9.29173,1.27207,1.79535,1.30372,0.00333,1,0.995,0.51113,1.19195,3.10737,1.37975,0.0002703,0.0002703,0.0002703
17,9.90077,1.33421,1.81603,1.31544,0.00333,1,0.995,0.547,0.97474,3.06945,1.3667,0.000286208,0.000286208,0.000286208
18,10.5021,1.05392,1.43531,1.14413,0.00333,1,0.995,0.547,0.97474,3.06945,1.3667,0.000301852,0.000301852,0.000301852
19,11.0841,1.06541,1.55284,1.25635,0.00333,1,0.995,0.4738,1.04924,3.19968,1.37896,0.000317232,0.000317232,0.000317232
20,11.6486,1.27528,1.5597,1.24045,0.00333,1,0.995,0.4738,1.04924,3.19968,1.37896,0.000332348,0.000332348,0.000332348
21,12.2456,1.34536,1.43667,1.1807,0.00333,1,0.995,0.53892,1.02081,3.2345,1.42812,0.0003472,0.0003472,0.0003472
22,12.8589,0.93767,1.47725,1.15103,0.00333,1,0.995,0.53892,1.02081,3.2345,1.42812,0.000361788,0.000361788,0.000361788
23,13.4687,0.9493,1.41481,1.17457,0.00333,1,0.995,0.49729,1.22657,3.29745,1.47631,0.000376112,0.000376112,0.000376112
24,14.2451,1.00448,1.50783,1.21436,0.00333,1,0.995,0.49729,1.22657,3.29745,1.47631,0.000390172,0.000390172,0.000390172
25,14.8342,0.98053,1.31939,1.16137,0.00333,1,0.995,0.427,1.57405,3.43465,1.65548,0.000403968,0.000403968,0.000403968
26,15.4359,0.99212,1.51864,1.26117,0.00333,1,0.995,0.427,1.57405,3.43465,1.65548,0.0004175,0.0004175,0.0004175
27,16.0721,0.9903,1.52132,1.19595,0.00333,1,0.995,0.427,1.69955,3.27226,1.87753,0.000430768,0.000430768,0.000430768
28,16.6361,0.90374,1.4504,1.07429,0.00333,1,0.995,0.427,1.69955,3.27226,1.87753,0.000443772,0.000443772,0.000443772
