epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.773,1.96394,3.12312,1.78834,0.00333,1,0.82833,0.18649,2.22145,4.09421,2.56149,0,0,0
2,2.29067,2.14641,3.36261,2.2127,0.00333,1,0.60611,0.19339,2.17485,3.97881,2.58106,1.9802e-05,1.9802e-05,1.9802e-05
3,2.87921,2.04096,3.57773,2.13131,0.00333,1,0.63786,0.19374,2.20531,4.10979,2.54916,3.9208e-05,3.9208e-05,3.9208e-05
4,3.41636,2.22098,3.52397,2.10558,0.00333,1,0.63786,0.18352,2.21153,4.04483,2.55502,5.8218e-05,5.8218e-05,5.8218e-05
5,3.93065,2.34755,3.34226,2.12773,0.00333,1,0.3725,0.1082,2.24807,3.93587,2.55805,7.6832e-05,7.6832e-05,7.6832e-05
6,4.43976,1.67406,3.23726,1.75524,0.00333,1,0.66167,0.19199,2.28627,3.80343,2.5588,9.505e-05,9.505e-05,9.505e-05
7,5.09781,2.18044,3.23745,2.17147,0.00333,1,0.63786,0.20628,2.07037,3.71838,2.34971,0.000112872,0.000112872,0.000112872
8,5.70276,1.90709,2.99035,1.82323,0.00333,1,0.82833,0.30393,1.82156,3.53344,2.23928,0.000130298,0.000130298,0.000130298
9,6.35104,1.83322,2.94298,1.78387,0.00333,1,0.995,0.3664,1.92546,3.44425,2.21946,0.000147328,0.000147328,0.000147328
10,6.96692,1.63478,2.98553,1.66967,0.00333,1,0.82833,0.318,1.87227,3.94586,2.08673,0.000163962,0.000163962,0.000163962
11,7.5609,1.52598,2.98714,1.63774,0.00333,1,0.995,0.39497,1.62812,3.69285,1.84455,0.0001802,0.0001802,0.0001802
12,8.169,1.68063,2.38347,1.58601,0.00333,1,0.995,0.33148,1.68427,3.45769,1.72771,0.000196042,0.000196042,0.000196042
13,8.77323,1.35176,2.24179,1.47577,0.00333,1,0.995,0.31488,1.81004,3.4129,1.75278,0.000211488,0.000211488,0.000211488
14,9.38032,1.38222,2.06354,1.33464,0.00333,1,0.995,0.43104,1.51404,3.55388,1.58548,0.000226538,0.000226538,0.000226538
15,10.0038,1.25417,2.05233,1.30411,0.00333,1,0.995,0.57204,1.18062,3.22629,1.44182,0.000241192,0.000241192,0.000241192
16,10.6048,1.15112,1.89741,1.27985,0.00333,1,0.995,0.58033,0.9083,2.99679,1.32608,0.00025545,0.00025545,0.00025545
17,11.2113,1.32392,1.73774,1.29248,0.00333,1,0.995,0.50963,0.91887,3.02503,1.33766,0.000269312,0.000269312,0.000269312
18,11.811,1.08855,1.52125,1.12634,0.00333,1,0.995,0.50963,0.91887,3.02503,1.33766,0.000282778,0.000282778,0.000282778
19,12.4133,1.12031,1.56674,1.27431,0.00333,1,0.995,0.42246,1.03511,3.03655,1.3948,0.000295848,0.000295848,0.000295848
20,12.9957,1.09425,1.53019,1.18816,0.00333,1,0.995,0.42246,1.03511,3.03655,1.3948,0.000308522,0.000308522,0.000308522
21,13.598,1.28638,1.40513,1.21487,0.00333,1,0.995,0.42246,1.21347,3.05194,1.51147,0.0003208,0.0003208,0.0003208
22,14.1784,1.00108,1.53508,1.22232,0.00333,1,0.995,0.42246,1.21347,3.05194,1.51147,0.000332682,0.000332682,0.000332682
23,14.8273,1.03468,1.44529,1.31703,0.00333,1,0.995,0.3568,1.27025,3.0453,1.48105,0.000344168,0.000344168,0.000344168
24,15.4222,0.98652,1.4917,1.22834,0.00333,1,0.995,0.3568,1.27025,3.0453,1.48105,0.000355258,0.000355258,0.000355258
25,16.2006,0.98228,1.3885,1.13485,0.00333,1,0.995,0.35826,1.08036,3.1951,1.37683,0.000365952,0.000365952,0.000365952
26,16.782,0.95313,1.53517,1.26452,0.00333,1,0.995,0.35826,1.08036,3.1951,1.37683,0.00037625,0.00037625,0.00037625
27,17.3741,1.10366,1.48474,1.20997,0.00333,1,0.995,0.35841,1.0999,3.20453,1.37033,0.000386152,0.000386152,0.000386152
28,17.9853,1.06681,1.55744,1.24252,0.00333,1,0.995,0.35841,1.0999,3.20453,1.37033,0.000395658,0.000395658,0.000395658
29,18.5929,1.03901,1.29941,1.13299,0.00333,1,0.995,0.45534,1.35578,3.0771,1.49031,0.000404768,0.000404768,0.000404768
30,19.203,1.03607,1.36171,1.18668,0.00333,1,0.995,0.45534,1.35578,3.0771,1.49031,0.000413482,0.000413482,0.000413482
31,19.8095,0.94054,1.27882,1.14515,0.00333,1,0.995,0.597,1.31927,2.87984,1.43429,0.0004218,0.0004218,0.0004218
32,20.3972,0.97408,1.23145,1.04793,0.00333,1,0.995,0.597,1.31927,2.87984,1.43429,0.000429722,0.000429722,0.000429722
33,21.0662,1.0792,1.36749,1.16413,0.00333,1,0.995,0.597,1.3517,2.77383,1.46786,0.000437248,0.000437248,0.000437248
34,21.6758,0.74531,1.19108,1.00481,0.00333,1,0.995,0.597,1.3517,2.77383,1.46786,0.000444378,0.000444378,0.000444378
35,22.3414,0.8468,1.43249,1.03964,0.00333,1,0.995,0.597,1.36273,2.82961,1.6034,0.000451112,0.000451112,0.000451112
36,22.9352,0.81507,1.3713,1.0807,0.00333,1,0.995,0.597,1.36273,2.82961,1.6034,0.00045745,0.00045745,0.00045745
37,23.547,0.96736,1.31489,1.12625,0.00333,1,0.995,0.59798,1.41696,2.79457,1.72364,0.000463392,0.000463392,0.000463392
38,24.1522,0.8749,1.2785,1.04706,0.00333,1,0.995,0.59798,1.41696,2.79457,1.72364,0.000468938,0.000468938,0.000468938
39,24.7711,0.90102,1.15995,1.03475,0.00333,1,0.995,0.54709,1.62949,2.97194,1.97919,0.000474088,0.000474088,0.000474088
40,25.3984,0.87968,1.11401,1.03525,0.00333,1,0.995,0.54709,1.62949,2.97194,1.97919,0.000478842,0.000478842,0.000478842
41,26.1276,1.03887,1.41048,1.2012,0.00333,1,0.995,0.32343,2.01582,3.04568,2.45843,0.0004832,0.0004832,0.0004832
