epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74286,1.88801,2.98254,1.73238,0.00333,1,0.995,0.2009,2.38529,3.79595,2.80122,0,0,0
2,5.49001,1.67697,3.55461,1.83984,0.00333,1,0.995,0.30071,2.56891,3.58009,2.84897,1.9604e-05,1.9604e-05,1.9604e-05
3,8.02092,1.64648,3.61261,2.0258,0.00333,1,0.995,0.29953,2.62015,3.35661,2.8356,3.8416e-05,3.8416e-05,3.8416e-05
4,10.2528,1.82251,3.09298,2.06205,0.00333,1,0.995,0.20469,2.67857,3.61307,2.82626,5.6436e-05,5.6436e-05,5.6436e-05
5,12.7447,1.76599,3.20972,1.77571,0.00333,1,0.995,0.20542,2.54316,4.42702,2.41382,7.3664e-05,7.3664e-05,7.3664e-05
6,15.2471,1.66542,2.7075,1.55661,0.00333,1,0.995,0.199,2.50672,4.55377,2.32724,9.01e-05,9.01e-05,9.01e-05
7,17.4434,1.43633,2.96807,1.52991,0.00333,1,0.995,0.37312,2.28284,3.78669,2.0774,0.000105744,0.000105744,0.000105744
8,19.5725,1.28317,2.50882,1.2181,0.00333,1,0.4975,0.21558,2.04886,3.47897,1.92403,0.000120596,0.000120596,0.000120596
9,21.7709,1.26406,3.25116,1.59849,0.00333,1,0.995,0.27362,2.061,3.24696,1.94298,0.000134656,0.000134656,0.000134656
10,24.0944,0.91198,2.12244,1.15244,0.00333,1,0.995,0.398,1.94655,3.46177,1.92037,0.000147924,0.000147924,0.000147924
11,26.3338,1.4508,2.77491,1.34273,0.00333,1,0.995,0.44775,1.53986,3.22165,1.76234,0.0001604,0.0001604,0.0001604
12,28.4585,1.31059,2.51909,1.3074,0.00333,1,0.995,0.44775,1.21989,3.56891,1.59242,0.000172084,0.000172084,0.000172084
13,30.6236,0.88065,1.86776,1.11817,0.00333,1,0.995,0.44064,1.11193,3.10123,1.4853,0.000182976,0.000182976,0.000182976
14,32.9723,1.26819,2.89797,1.45826,0.00333,1,0.995,0.43117,0.9633,3.03231,1.58876,0.000193076,0.000193076,0.000193076
15,35.037,0.77375,1.31211,0.9296,0.00333,1,0.4975,0.34825,1.13397,2.96058,1.58807,0.000202384,0.000202384,0.000202384
16,37.2832,0.87833,1.61579,1.09544,0.00333,1,0.4975,0.3184,1.24276,2.94857,1.64288,0.0002109,0.0002109,0.0002109
17,39.4009,0.91054,1.41752,1.15494,0.00333,1,0.995,0.6965,1.29306,2.87292,1.61859,0.000218624,0.000218624,0.000218624
18,41.4291,0.91464,2.21158,1.10725,0.00333,1,0.995,0.6965,1.29306,2.87292,1.61859,0.000225556,0.000225556,0.000225556
19,43.6656,0.96258,1.16787,1.10999,0.00333,1,0.995,0.61358,1.16594,2.85053,1.53871,0.000231696,0.000231696,0.000231696
20,45.7667,0.7853,1.24449,0.96979,0.00333,1,0.995,0.61358,1.16594,2.85053,1.53871,0.000237044,0.000237044,0.000237044
21,47.9173,0.66564,1.05182,0.94452,0.00333,1,0.995,0.6965,1.03478,2.65282,1.45693,0.0002416,0.0002416,0.0002416
22,49.9862,0.60412,0.98845,0.92773,0.00333,1,0.995,0.6965,1.03478,2.65282,1.45693,0.000245364,0.000245364,0.000245364
23,52.1535,0.94275,1.49808,0.95761,0.00333,1,0.995,0.6965,1.10813,2.69807,1.42535,0.000248336,0.000248336,0.000248336
24,54.3053,0.83107,1.75847,1.00347,0.00333,1,0.995,0.6965,1.10813,2.69807,1.42535,0.000250516,0.000250516,0.000250516
25,56.9117,0.72701,1.92321,1.13777,0.00333,1,0.995,0.6965,1.18517,2.78624,1.59708,0.000251904,0.000251904,0.000251904
26,59.2304,0.81808,1.17128,0.94967,0.00333,1,0.995,0.6965,1.18517,2.78624,1.59708,0.0002525,0.0002525,0.0002525
27,61.3868,0.5153,1.16227,0.92507,0.00333,1,0.995,0.6965,1.4195,2.85361,1.79137,0.000252304,0.000252304,0.000252304
28,63.6128,0.48067,1.30354,1.01939,0.00333,1,0.995,0.6965,1.4195,2.85361,1.79137,0.000251316,0.000251316,0.000251316
29,65.6838,0.37372,1.13702,0.93121,0.00333,1,0.995,0.6965,1.40186,2.87481,1.82592,0.000249536,0.000249536,0.000249536
30,68.4247,0.82539,1.53616,0.99059,0.00333,1,0.995,0.6965,1.40186,2.87481,1.82592,0.000246964,0.000246964,0.000246964
31,70.5829,0.63469,1.24987,0.8997,0.00333,1,0.995,0.47428,1.291,2.82104,1.76495,0.0002436,0.0002436,0.0002436
32,72.7818,0.78649,1.16125,0.93551,0.00333,1,0.995,0.47428,1.291,2.82104,1.76495,0.000239444,0.000239444,0.000239444
33,75.065,0.8464,1.52918,1.14776,0.00333,1,0.995,0.54725,1.13071,2.83675,1.66469,0.000234496,0.000234496,0.000234496
34,77.0507,1.11632,1.62578,1.27525,0.00333,1,0.995,0.54725,1.13071,2.83675,1.66469,0.000228756,0.000228756,0.000228756
35,79.1514,0.53308,1.08261,0.93821,0.00333,1,0.995,0.60944,1.00258,2.81815,1.60459,0.000222224,0.000222224,0.000222224
36,81.1779,0.77165,1.3164,0.89276,0.00333,1,0.995,0.60944,1.00258,2.81815,1.60459,0.0002149,0.0002149,0.0002149
37,83.7599,0.89703,1.41717,1.03372,0.00333,1,0.995,0.6965,1.08857,2.8992,1.60829,0.000206784,0.000206784,0.000206784
38,85.8326,0.40757,1.13438,0.90923,0.00333,1,0.995,0.6965,1.08857,2.8992,1.60829,0.000197876,0.000197876,0.000197876
39,88.0294,0.72414,1.39868,0.88258,0.00333,1,0.995,0.6965,1.1893,2.95914,1.6607,0.000188176,0.000188176,0.000188176
40,90.0481,0.72867,1.52562,1.06254,0.00333,1,0.995,0.6965,1.1893,2.95914,1.6607,0.000177684,0.000177684,0.000177684
41,92.3636,0.38086,1.56022,0.95548,0.00333,1,0.995,0.61121,1.46792,2.93482,1.70458,0.0001664,0.0001664,0.0001664
42,94.6188,0.40239,1.49177,0.74085,0.00333,1,0.995,0.61121,1.46792,2.93482,1.70458,0.000154324,0.000154324,0.000154324
43,96.8331,0.38028,1.41726,0.93653,0.00333,1,0.995,0.62543,1.46775,3.125,1.7134,0.000141456,0.000141456,0.000141456
44,99.0139,0.3413,1.29554,0.61613,0.00333,1,0.995,0.62543,1.46775,3.125,1.7134,0.000127796,0.000127796,0.000127796
45,101.21,0.65696,1.58926,0.94548,0.00333,1,0.995,0.62543,1.43713,3.19573,1.71393,0.000113344,0.000113344,0.000113344
46,103.334,0.49976,1.27301,0.8563,0.00333,1,0.995,0.62543,1.43713,3.19573,1.71393,9.81e-05,9.81e-05,9.81e-05
47,105.517,0.35575,1.49022,0.97628,0.00333,1,0.995,0.6965,1.55854,3.02514,1.70329,8.2064e-05,8.2064e-05,8.2064e-05
48,107.616,0.49063,1.46114,0.8478,0.00333,1,0.995,0.6965,1.55854,3.02514,1.70329,6.5236e-05,6.5236e-05,6.5236e-05
49,109.754,0.31474,1.35164,0.88811,0.00333,1,0.995,0.6965,1.4927,3.0469,1.67613,4.7616e-05,4.7616e-05,4.7616e-05
50,111.908,0.51813,1.59999,0.82395,0.00333,1,0.995,0.6965,1.4927,3.0469,1.67613,2.9204e-05,2.9204e-05,2.9204e-05
