epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96901,2.01894,3.17947,1.94532,0.00333,1,0.82833,0.20111,2.2331,3.91151,2.56728,0,0,0
2,11.7898,2.22055,3.35501,2.08686,0.00333,1,0.82833,0.22002,2.18596,3.78955,2.53737,1.9802e-05,1.9802e-05,1.9802e-05
3,17.6123,2.08381,3.4507,2.03069,0.00333,1,0.745,0.22197,2.00275,3.66479,2.47238,3.9208e-05,3.9208e-05,3.9208e-05
4,23.0577,2.11842,3.18929,1.99496,0.00333,1,0.4975,0.19061,1.83423,3.5669,2.29563,5.8218e-05,5.8218e-05,5.8218e-05
5,28.3639,1.83662,2.97854,1.88617,0.00333,1,0.4975,0.19804,1.68556,3.42121,2.29686,7.6832e-05,7.6832e-05,7.6832e-05
6,33.9858,1.77234,2.76847,1.7507,0.00333,1,0.745,0.25603,1.65279,3.25821,2.11405,9.505e-05,9.505e-05,9.505e-05
7,39.2258,1.72295,2.79261,1.76856,0.00333,1,0.745,0.27945,1.59514,3.60596,2.10417,0.000112872,0.000112872,0.000112872
8,44.51,1.52546,2.52755,1.56126,0.00333,1,0.995,0.29079,1.82132,3.25342,2.04708,0.000130298,0.000130298,0.000130298
9,49.9542,1.46868,2.5189,1.4964,0.00333,1,0.995,0.38422,1.85644,3.56483,1.89504,0.000147328,0.000147328,0.000147328
10,55.5217,1.35261,2.32909,1.5023,0.00333,1,0.995,0.36485,1.92563,3.22618,1.88789,0.000163962,0.000163962,0.000163962
11,61.0405,1.37776,2.13084,1.36922,0.00333,1,0.995,0.36715,1.61799,3.2779,1.7674,0.0001802,0.0001802,0.0001802
12,67.421,1.53349,2.2055,1.54875,0.00333,1,0.995,0.40558,1.492,3.38563,1.72321,0.000196042,0.000196042,0.000196042
13,74.229,1.2445,1.72032,1.26351,0.00333,1,0.995,0.567,1.42542,3.28486,1.67932,0.000211488,0.000211488,0.000211488
14,82.3459,1.056,1.72801,1.28796,0.00333,1,0.82833,0.52713,1.31004,2.89022,1.59682,0.000226538,0.000226538,0.000226538
15,89.3049,1.27996,1.61698,1.24892,0.00991,1,0.82833,0.44005,1.15561,2.9831,1.53529,0.000241192,0.000241192,0.000241192
16,96.5547,1.3276,1.73955,1.36359,0.53819,0.5,0.82833,0.47804,1.19697,2.74782,1.45614,0.00025545,0.00025545,0.00025545
17,103.026,1.15852,1.78881,1.33203,1,0.83223,0.995,0.66079,1.12917,2.84763,1.40844,0.000269312,0.000269312,0.000269312
18,109.649,0.92839,1.59085,1.28894,1,0.83223,0.995,0.66079,1.12917,2.84763,1.40844,0.000282778,0.000282778,0.000282778
19,115.938,1.12097,1.40089,1.19339,1,0.77773,0.995,0.63329,1.22864,2.75909,1.40287,0.000295848,0.000295848,0.000295848
20,121.547,0.88894,1.30809,1.10806,1,0.77773,0.995,0.63329,1.22864,2.75909,1.40287,0.000308522,0.000308522,0.000308522
21,127.952,1.12618,1.46232,1.16621,1,0.83475,0.995,0.56704,1.41748,2.54186,1.57385,0.0003208,0.0003208,0.0003208
22,134.05,0.92495,1.39785,1.16485,1,0.83475,0.995,0.56704,1.41748,2.54186,1.57385,0.000332682,0.000332682,0.000332682
23,139.827,0.88832,1.34129,1.10745,1,0.87288,0.995,0.46413,1.41007,2.70901,1.78491,0.000344168,0.000344168,0.000344168
24,145.963,1.08537,1.31117,1.16384,1,0.87288,0.995,0.46413,1.41007,2.70901,1.78491,0.000355258,0.000355258,0.000355258
25,152.091,0.82115,1.11167,1.0604,1,0.89051,0.995,0.44161,1.4774,2.79507,2.14078,0.000365952,0.000365952,0.000365952
26,157.824,0.6653,1.25632,1.05585,1,0.89051,0.995,0.44161,1.4774,2.79507,2.14078,0.00037625,0.00037625,0.00037625
27,164.408,0.92833,1.2287,1.07606,1,0.88469,0.995,0.31963,1.68974,2.76402,2.66104,0.000386152,0.000386152,0.000386152
28,169.713,0.8345,1.18308,0.97457,1,0.88469,0.995,0.31963,1.68974,2.76402,2.66104,0.000395658,0.000395658,0.000395658
29,175.528,1.00939,1.34112,1.21142,1,0.9297,0.995,0.31096,1.67581,2.92491,2.69503,0.000404768,0.000404768,0.000404768
30,183.007,0.82546,1.23648,1.01043,1,0.9297,0.995,0.31096,1.67581,2.92491,2.69503,0.000413482,0.000413482,0.000413482
31,188.721,0.77457,1.32943,1.1062,0.96721,1,0.995,0.36137,1.41902,3.09019,2.04551,0.0004218,0.0004218,0.0004218
32,194.104,0.77696,1.11873,1.08923,0.96721,1,0.995,0.36137,1.41902,3.09019,2.04551,0.000429722,0.000429722,0.000429722
33,199.233,0.92463,1.28451,1.11166,0.87861,1,0.995,0.30572,1.42481,3.18175,1.87814,0.000437248,0.000437248,0.000437248
34,204.327,0.87896,1.34013,1.08521,0.87861,1,0.995,0.30572,1.42481,3.18175,1.87814,0.000444378,0.000444378,0.000444378
35,209.431,0.79104,1.08645,0.97242,0.93666,1,0.995,0.27697,1.67558,3.27224,2.02293,0.000451112,0.000451112,0.000451112
36,215.307,0.85936,1.27438,1.16376,0.93666,1,0.995,0.27697,1.67558,3.27224,2.02293,0.00045745,0.00045745,0.00045745
37,220.513,1.06636,1.30995,1.20438,0.97818,1,0.995,0.33182,1.67362,3.25833,2.14059,0.000463392,0.000463392,0.000463392
38,226.117,0.81553,1.1747,0.98957,0.97818,1,0.995,0.33182,1.67362,3.25833,2.14059,0.000468938,0.000468938,0.000468938
39,232.428,0.83965,1.09394,0.96093,0.98214,1,0.995,0.3645,1.69744,2.86619,2.53566,0.000474088,0.000474088,0.000474088
40,239.416,0.56347,1.01197,0.9507,0.98214,1,0.995,0.3645,1.69744,2.86619,2.53566,0.000478842,0.000478842,0.000478842
41,245.733,0.89968,1.21443,1.1174,0.96825,1,0.995,0.35941,2.01923,2.73248,3.45087,0.0004832,0.0004832,0.0004832
42,251.146,0.68143,1.02392,0.99943,0.96825,1,0.995,0.35941,2.01923,2.73248,3.45087,0.000487162,0.000487162,0.000487162
43,256.327,0.79961,1.15933,1.04326,0.96114,1,0.995,0.29346,2.14833,2.7554,3.8642,0.000490728,0.000490728,0.000490728
44,261.355,1.08683,1.39202,1.20844,0.96114,1,0.995,0.29346,2.14833,2.7554,3.8642,0.000493898,0.000493898,0.000493898
45,266.599,0.87892,1.02487,1.01271,0.96231,1,0.995,0.34792,2.10557,2.95263,3.70499,0.000496672,0.000496672,0.000496672
46,271.764,0.79452,0.88251,1.0175,0.96231,1,0.995,0.34792,2.10557,2.95263,3.70499,0.00049905,0.00049905,0.00049905
47,276.724,0.73702,1.13072,1.05963,0.98288,1,0.995,0.21353,2.38495,2.88689,3.70844,0.000501032,0.000501032,0.000501032
