epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.09079,2.01894,3.17947,1.94532,0.00333,1,0.82833,0.20111,2.2331,3.91151,2.56728,0,0,0
2,11.7173,2.22055,3.35501,2.08686,0.00333,1,0.82833,0.22002,2.18654,3.79008,2.53764,1.9604e-05,1.9604e-05,1.9604e-05
3,16.9504,2.08435,3.45105,2.03093,0.00333,1,0.745,0.22197,2.00352,3.66472,2.47407,3.8416e-05,3.8416e-05,3.8416e-05
4,22.0877,2.11852,3.19373,1.99658,0.00333,1,0.4975,0.18985,1.89844,3.5945,2.29013,5.6436e-05,5.6436e-05,5.6436e-05
5,27.3911,1.8171,2.95693,1.88126,0.00333,1,0.4975,0.20877,1.76354,3.30261,2.2032,7.3664e-05,7.3664e-05,7.3664e-05
6,32.4534,1.7848,2.73144,1.73624,0.00333,1,0.745,0.26771,1.51384,3.36962,1.92812,9.01e-05,9.01e-05,9.01e-05
7,38.1238,1.71416,2.87491,1.82228,0.00333,1,0.82833,0.37396,1.19234,3.5115,1.72142,0.000105744,0.000105744,0.000105744
8,43.2738,1.54626,2.51427,1.49143,0.00333,1,0.995,0.56805,1.15814,3.32813,1.63128,0.000120596,0.000120596,0.000120596
9,48.6788,1.38516,2.53981,1.451,0.00333,1,0.995,0.56321,1.21062,3.32994,1.60155,0.000134656,0.000134656,0.000134656
10,53.8446,1.37842,2.44357,1.53815,0.00333,1,0.995,0.42959,1.29788,3.31585,1.61401,0.000147924,0.000147924,0.000147924
11,59.5049,1.36422,2.24462,1.39298,0.00333,1,0.995,0.38209,1.37121,3.24331,1.6356,0.0001604,0.0001604,0.0001604
12,64.9481,1.58684,2.31805,1.62033,0.00333,1,0.995,0.38215,1.19724,3.31448,1.54235,0.000172084,0.000172084,0.000172084
13,69.8961,1.3839,1.71856,1.29818,0.00333,1,0.995,0.31159,1.0958,3.18576,1.48678,0.000182976,0.000182976,0.000182976
14,75.2098,1.19272,1.69376,1.30419,0.00333,1,0.995,0.34619,1.13401,3.11246,1.4647,0.000193076,0.000193076,0.000193076
15,80.4859,1.41341,1.77039,1.29137,0.00333,1,0.995,0.32482,1.15477,3.13073,1.46227,0.000202384,0.000202384,0.000202384
16,85.7294,1.30037,1.82834,1.352,0.00333,1,0.995,0.32843,1.16495,3.14025,1.49023,0.0002109,0.0002109,0.0002109
17,91.1032,1.26465,1.76028,1.37527,0.00333,1,0.995,0.37594,1.33492,3.02805,1.63452,0.000218624,0.000218624,0.000218624
18,97.3756,1.31455,1.62268,1.46491,0.00333,1,0.995,0.37594,1.33492,3.02805,1.63452,0.000225556,0.000225556,0.000225556
19,103.266,1.09684,1.38526,1.23198,0.00333,1,0.995,0.52309,1.42489,3.0261,1.73457,0.000231696,0.000231696,0.000231696
20,109.275,0.84175,1.18072,1.09198,0.00333,1,0.995,0.52309,1.42489,3.0261,1.73457,0.000237044,0.000237044,0.000237044
21,114.622,1.22054,1.55087,1.23941,0.00333,1,0.995,0.4975,1.52609,2.9752,1.81144,0.0002416,0.0002416,0.0002416
22,119.742,0.92621,1.37437,1.15805,0.00333,1,0.995,0.4975,1.52609,2.9752,1.81144,0.000245364,0.000245364,0.000245364
23,124.738,0.8941,1.29576,1.13558,0.00333,1,0.995,0.42338,1.55303,2.89357,1.91426,0.000248336,0.000248336,0.000248336
24,130.199,1.15522,1.39845,1.23416,0.00333,1,0.995,0.42338,1.55303,2.89357,1.91426,0.000250516,0.000250516,0.000250516
25,136.48,0.89981,1.1589,1.11723,0.00333,1,0.995,0.44813,1.52279,2.76254,2.02329,0.000251904,0.000251904,0.000251904
26,143.115,0.65678,1.26687,1.08151,0.00333,1,0.995,0.44813,1.52279,2.76254,2.02329,0.0002525,0.0002525,0.0002525
27,150.099,1.05553,1.17272,1.108,0.00333,1,0.995,0.33457,1.46701,2.81727,2.1219,0.000252304,0.000252304,0.000252304
28,155.42,1.04046,1.23184,1.05972,0.00333,1,0.995,0.33457,1.46701,2.81727,2.1219,0.000251316,0.000251316,0.000251316
29,160.813,0.92185,1.19044,1.08876,0.00333,1,0.995,0.38174,1.37528,2.86768,2.02748,0.000249536,0.000249536,0.000249536
30,166.276,0.87838,1.20825,1.04558,0.00333,1,0.995,0.38174,1.37528,2.86768,2.02748,0.000246964,0.000246964,0.000246964
31,171.421,0.73423,1.19085,1.04452,0.00333,1,0.995,0.4475,1.38192,2.89046,2.14737,0.0002436,0.0002436,0.0002436
32,176.555,0.78349,1.148,1.08103,0.00333,1,0.995,0.4475,1.38192,2.89046,2.14737,0.000239444,0.000239444,0.000239444
33,181.824,0.83131,1.2695,1.12198,0.00333,1,0.995,0.4475,1.50957,2.78943,2.39638,0.000234496,0.000234496,0.000234496
34,186.729,0.89453,1.22109,1.09606,0.00333,1,0.995,0.4475,1.50957,2.78943,2.39638,0.000228756,0.000228756,0.000228756
35,192.122,0.72733,1.01064,0.93983,0.00729,1,0.995,0.42571,1.56791,2.71441,2.50801,0.000222224,0.000222224,0.000222224
36,197.461,0.66314,1.19022,1.07857,0.00729,1,0.995,0.42571,1.56791,2.71441,2.50801,0.0002149,0.0002149,0.0002149
37,202.977,0.91477,1.24574,1.12057,0.74331,1,0.995,0.49717,1.69395,2.60082,2.73053,0.000206784,0.000206784,0.000206784
38,208.064,0.6709,1.12869,0.89116,0.74331,1,0.995,0.49717,1.69395,2.60082,2.73053,0.000197876,0.000197876,0.000197876
39,213.233,0.6745,0.99329,0.90579,0.92826,1,0.995,0.47238,1.63386,2.53701,2.7009,0.000188176,0.000188176,0.000188176
40,219.189,0.589,0.93377,0.9716,0.92826,1,0.995,0.47238,1.63386,2.53701,2.7009,0.000177684,0.000177684,0.000177684
41,225.539,0.69537,1.50973,1.05738,1,0.94878,0.995,0.47238,1.63428,2.54281,2.75009,0.0001664,0.0001664,0.0001664
42,231.144,0.60235,1.42573,1.059,1,0.94878,0.995,0.47238,1.63428,2.54281,2.75009,0.000154324,0.000154324,0.000154324
43,236.242,0.56826,1.44611,0.97604,1,0.98288,0.995,0.47277,1.70578,2.51943,2.81332,0.000141456,0.000141456,0.000141456
44,242.094,0.71072,1.52881,0.99776,1,0.98288,0.995,0.47277,1.70578,2.51943,2.81332,0.000127796,0.000127796,0.000127796
45,247.415,0.61843,1.45555,1.06389,0.98505,1,0.995,0.44832,1.78427,2.52342,2.82509,0.000113344,0.000113344,0.000113344
46,252.704,0.50907,1.37333,0.89899,0.98505,1,0.995,0.44832,1.78427,2.52342,2.82509,9.81e-05,9.81e-05,9.81e-05
47,257.927,0.52381,1.27568,0.9815,0.9771,1,0.995,0.44831,1.82338,2.47661,2.83206,8.2064e-05,8.2064e-05,8.2064e-05
48,262.934,0.45542,1.40581,0.94535,0.9771,1,0.995,0.44831,1.82338,2.47661,2.83206,6.5236e-05,6.5236e-05,6.5236e-05
49,268.09,0.55828,1.38166,0.98263,0.97513,1,0.995,0.44759,1.81744,2.44996,2.80176,4.7616e-05,4.7616e-05,4.7616e-05
50,273.023,0.58824,1.32644,0.91507,0.97513,1,0.995,0.44759,1.81744,2.44996,2.80176,2.9204e-05,2.9204e-05,2.9204e-05
