epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.36896,2.25405,3.59642,2.28977,0.00333,1,0.66167,0.14372,2.23002,3.88984,2.53641,2e-05,2e-05,2e-05
2,18.498,1.9288,3.38504,1.92217,0.00333,1,0.66167,0.16227,2.23158,3.85096,2.47516,5.9406e-05,5.9406e-05,5.9406e-05
3,27.4432,2.09281,3.10844,1.97348,0.00333,1,0.82833,0.33461,1.89088,3.78087,2.18955,9.802e-05,9.802e-05,9.802e-05
4,36.3865,1.76346,2.96248,1.70798,0.00333,1,0.995,0.41981,1.72601,3.80436,1.9456,0.000135842,0.000135842,0.000135842
5,45.2343,1.56627,2.61668,1.5561,0.00333,1,0.745,0.25612,1.56807,3.51674,1.82648,0.000172872,0.000172872,0.000172872
6,54.1262,1.36288,2.15825,1.42597,0.00333,1,0.745,0.32625,1.46095,3.54306,1.76433,0.00020911,0.00020911,0.00020911
7,63.9044,1.40097,1.99269,1.32227,0.00333,1,0.82833,0.33125,1.85142,3.26522,1.78097,0.000244556,0.000244556,0.000244556
8,73.3235,1.19037,1.58236,1.24795,0.00333,1,0.82833,0.44189,1.40024,3.09917,1.50624,0.00027921,0.00027921,0.00027921
9,82.2768,1.22735,1.49115,1.19675,0.00333,1,0.995,0.51586,1.52153,2.97878,1.59679,0.000313072,0.000313072,0.000313072
10,91.2654,1.14041,1.82035,1.24734,0.00333,1,0.995,0.57694,1.24402,2.92867,1.44426,0.000346142,0.000346142,0.000346142
11,100.648,1.06779,1.60904,1.20634,0.00333,1,0.995,0.60479,1.02794,2.72431,1.33782,0.00037842,0.00037842,0.00037842
12,109.427,1.04375,1.43508,1.1598,0.00333,1,0.995,0.62638,0.8787,2.77415,1.28441,0.000409906,0.000409906,0.000409906
13,118.603,1.06,1.50017,1.19383,0.00333,1,0.995,0.58392,0.92052,2.80026,1.38273,0.0004406,0.0004406,0.0004406
14,127.471,1.10434,1.47762,1.13858,0.00333,1,0.995,0.46688,1.15004,2.82717,1.55836,0.000470502,0.000470502,0.000470502
15,136.708,0.93811,1.373,1.01852,0.00817,1,0.995,0.48854,1.15525,2.73646,1.63161,0.000499612,0.000499612,0.000499612
16,145.661,0.89782,1.25786,1.04627,0.00819,1,0.995,0.43733,0.90916,2.73116,1.49927,0.00052793,0.00052793,0.00052793
17,155.814,0.87868,1.21419,1.09551,1,0.95672,0.995,0.53425,1.13092,2.69004,1.50817,0.000555456,0.000555456,0.000555456
18,166.377,0.80694,1.31981,1.10839,1,0.89492,0.995,0.597,1.16422,2.48634,1.50211,0.00058219,0.00058219,0.00058219
19,176.025,0.83478,1.07699,1.00895,0.64544,0.93632,0.82833,0.51013,1.19009,2.6474,1.58789,0.000608132,0.000608132,0.000608132
20,188.734,0.90275,1.2606,1.05951,0.58971,1,0.82833,0.48585,1.27104,2.66628,1.51993,0.000633282,0.000633282,0.000633282
21,199.72,1.00216,1.36637,1.14265,0.10205,1,0.82833,0.56279,1.11507,2.80478,1.32408,0.00065764,0.00065764,0.00065764
22,209.512,0.87597,1.184,0.99056,0.12213,1,0.995,0.79559,0.71459,2.63203,1.15725,0.000681206,0.000681206,0.000681206
23,218.493,0.92631,1.05218,1.05012,0.92841,1,0.995,0.6965,0.91873,2.38259,1.18768,0.00070398,0.00070398,0.00070398
24,227.183,0.86919,1.09551,1.01721,1,0.97565,0.995,0.72129,1.01167,2.11969,1.35946,0.000725962,0.000725962,0.000725962
25,235.732,0.8155,1.03758,0.9708,1,0.96924,0.995,0.65279,1.12831,2.02735,1.59734,0.000747152,0.000747152,0.000747152
26,244.265,0.80144,1.04224,0.99309,1,0.97442,0.995,0.64658,1.2138,1.93589,1.69021,0.00076755,0.00076755,0.00076755
27,252.619,0.7837,1.11488,0.97914,0.99529,1,0.995,0.64658,1.17681,1.76635,1.70848,0.000787156,0.000787156,0.000787156
28,261.545,0.75165,1.0554,1.01453,0.99529,1,0.995,0.64658,1.17681,1.76635,1.70848,0.00080597,0.00080597,0.00080597
29,270.121,0.81271,1.03829,1.04643,0.97364,1,0.995,0.66083,1.09101,1.807,1.59691,0.000823992,0.000823992,0.000823992
30,278.629,0.67173,0.93425,0.97284,1,0.91144,0.995,0.79559,0.89427,2.30026,1.30095,0.000841222,0.000841222,0.000841222
31,288.215,0.87704,1.30775,1.12002,1,0.91144,0.995,0.79559,0.89427,2.30026,1.30095,0.00085766,0.00085766,0.00085766
32,297.172,0.86482,1.15524,1.05244,1,0.8616,0.995,0.79559,0.93389,2.40172,1.29253,0.000873306,0.000873306,0.000873306
