epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36072,2.1663,3.39228,2.12224,0.00333,1,0.63786,0.19982,2.24513,3.96285,2.56105,2e-05,2e-05,2e-05
2,2.22646,2.12566,3.42064,2.0896,0.00333,1,0.62,0.18507,2.23014,4.07057,2.55143,5.9406e-05,5.9406e-05,5.9406e-05
3,3.06456,2.1478,3.36674,2.15088,0.00333,1,0.695,0.19304,2.2233,3.95457,2.53496,9.802e-05,9.802e-05,9.802e-05
4,3.94863,2.00754,3.15289,1.93429,0.00333,1,0.745,0.30523,1.66071,3.45174,2.13439,0.000135842,0.000135842,0.000135842
5,4.87267,1.80858,3.19293,1.82929,0.00333,1,0.995,0.39792,1.40853,3.48461,1.69586,0.000172872,0.000172872,0.000172872
6,5.82308,1.52571,2.66707,1.60224,0.00333,1,0.995,0.30473,1.4122,3.20238,1.61392,0.00020911,0.00020911,0.00020911
7,6.7645,1.42191,2.26948,1.52447,0.00333,1,0.82833,0.23829,1.59182,3.58205,1.64804,0.000244556,0.000244556,0.000244556
8,7.71428,1.43875,2.34696,1.46829,0.00333,1,0.66333,0.24952,1.57166,3.30442,1.5918,0.00027921,0.00027921,0.00027921
9,8.6086,1.26516,1.81022,1.29444,0.00333,1,0.66333,0.2985,1.38097,3.10673,1.50526,0.000313072,0.000313072,0.000313072
10,9.65016,1.22401,1.90522,1.30314,0.00333,1,0.82833,0.46763,1.09296,3.00233,1.35809,0.000346142,0.000346142,0.000346142
11,10.5814,1.22388,1.74183,1.25609,0.00333,1,0.82833,0.49377,0.89699,2.9526,1.28702,0.00037842,0.00037842,0.00037842
12,11.5233,1.14862,1.64468,1.29263,0.00333,1,0.82833,0.54675,0.81752,2.73836,1.23388,0.000409906,0.000409906,0.000409906
13,12.4474,1.08147,1.54077,1.1385,0.00333,1,0.82833,0.51367,0.98248,2.87223,1.373,0.0004406,0.0004406,0.0004406
14,13.3479,1.04965,1.51663,1.11356,0.00333,1,0.995,0.53588,1.09057,3.10068,1.49567,0.000470502,0.000470502,0.000470502
