epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8843,2.32438,3.26415,2.21557,0.00333,1,0.695,0.18612,2.24486,3.92231,2.5311,2e-05,2e-05,2e-05
2,23.4538,2.21373,3.42308,2.09559,0.00333,1,0.82833,0.24069,2.23459,3.56768,2.39051,5.9406e-05,5.9406e-05,5.9406e-05
3,34.672,2.16327,3.36793,2.12884,0.00333,1,0.995,0.3501,1.83416,3.34917,2.03976,9.802e-05,9.802e-05,9.802e-05
4,45.6329,1.7389,3.02207,1.77054,0.00333,1,0.995,0.47246,1.47973,3.19522,1.84645,0.000135842,0.000135842,0.000135842
5,56.9651,1.69126,2.86444,1.68087,0.00333,1,0.82833,0.33299,1.66825,3.12444,1.90486,0.000172872,0.000172872,0.000172872
6,68.1901,1.35404,2.30622,1.46677,0.00333,1,0.995,0.45126,1.62771,2.99406,1.79163,0.00020911,0.00020911,0.00020911
7,79.4648,1.35394,2.25239,1.41269,0.00333,1,0.82833,0.36944,1.42171,3.02464,1.54639,0.000244556,0.000244556,0.000244556
